,name,geometry,probability
209,522557055,POINT (261082.1287877135 578868.0262931507),5.2476722243759154e-05
210,525553041,POINT (262903.34957264387 576985.0241991221),1.3688722111626061e-05
211,526553053,POINT (263333.96645300277 576800.5231784028),2.7021640184550586e-06
212,525554040,POINT (262525.90403718466 577424.7622189233),3.4185344680094164e-05
213,525554042,POINT (262591.25611681177 577332.9152154016),1.4103417554218673e-05
214,486454019,POINT (243468.8667470183 527045.5903133906),7.147257020236109e-05
215,489454012,POINT (244561.0227103297 527030.7782672716),2.8223756694908427e-05
216,393153145,POINT (196897.9888281243 376639.5406387886),1.038765220332953e-05
217,317159038,POINT (158562.04049068323 379524.90867396677),0.00011538465632278001
218,318159024,POINT (158859.00149027107 379559.7556651614),0.0004989717217232035
219,247360249,POINT (123615.9143942569 480252.7765845365),3.1352356955838674e-05
220,247360215,POINT (123791.8153986859 480278.76757895696),0.0
221,294213061,POINT (147388.8134566644 406971.7662050789),4.470434470403997e-05
222,296214096,POINT (148033.8134668085 407461.76618896844),4.8586480113744685e-05
223,237382015,POINT (118876.62125964017 491029.2607561459),0.0
224,283223063,POINT (141698.81568355384 411774.95343749505),0.0
225,284223159,POINT (142087.42067361195 411685.87942375214),3.5010339953370194e-05
226,290223129,POINT (144958.68363725915 411911.8963317055),7.164235875809859e-05
227,306319047,POINT (153267.31703478523 459936.41951917147),2.737475254817902e-05
228,307319012,POINT (153577.11803465287 459947.9195094073),0.0
229,364372014,POINT (182151.34300419292 486033.80872468656),0.0
230,385331035,POINT (192754.1072691336 465732.9323367149),3.9236694609785185e-05
231,386330010,POINT (193220.8152580893 465497.76532174676),8.377748818472047e-05
232,249491045,POINT (124724.40801122786 545715.2004281004),6.417957364129243e-06
233,249491059,POINT (124747.39301412541 545702.7254274783),3.009854169411298e-07
234,309226094,POINT (154629.64862510673 413360.996037926),2.949419020084888e-05
235,310227014,POINT (155091.79862843556 413501.7330249605),3.2923032115666175e-05
236,345366059,POINT (172537.8157275971 483206.7660267212),2.4459319370519794e-05
237,345366079,POINT (172565.81572759073 483196.76602579834),0.0
238,290210027,POINT (145281.8134181044 405031.7662552124),9.052284393124724e-06
239,291211041,POINT (145605.81343403173 405665.7662505393),9.991730642267052e-06
240,290223195,POINT (145060.9346382859 411984.855329094),2.611531073897013e-05
241,290224094,POINT (145237.9096385925 412062.1143240953),3.293146560676284e-05
242,365058062,POINT (182955.80907493018 329255.7655884564),0.0
243,366058037,POINT (183103.02004809087 329213.74458557495),3.0131747882883095e-05
244,366057036,POINT (183193.8270207966 328960.8675912466),5.246750104270246e-05
245,366057040,POINT (183203.9510132658 328836.81559505325),5.4512113178345536e-05
246,286140066,POINT (142989.81232758195 370181.76615237317),1.5181579881230147e-05
247,286140071,POINT (143497.89832318883 370447.3321356526),4.422574566719713e-05
248,313535016,POINT (156753.9757134943 567524.9772806395),4.962975654312817e-06
249,314534026,POINT (157136.654709897 567402.4952686756),9.403692972817446e-06
250,261498047,POINT (130824.19969501224 549084.4922249948),1.2417840637457227e-05
251,262498101,POINT (131220.31072945503 549188.9212122711),7.4378171702876714e-06
252,391494059,POINT (195819.02661893898 547310.5190448619),1.0832344397355553e-05
253,392494079,POINT (196194.58969555135 547031.1620327921),1.6961571828015002e-05
254,271189154,POINT (135976.57635656203 394640.1094774669),3.240535117066047e-05
255,272189075,POINT (136090.8133527527 394690.76647396345),0.0
256,340138023,POINT (170214.40591544015 369206.8413309801),2.8582636694720585e-05
257,340138083,POINT (170390.7389020859 369031.78032637184),1.7002207302689335e-05
258,302218063,POINT (151008.81350713244 409289.7661116204),0.0
259,302219118,POINT (151267.82751574836 409594.7901063785),4.408442564796717e-05
260,349517004,POINT (174977.23893646506 558841.9237173263),1.0442888245981304e-05
261,350517046,POINT (175074.79893490946 558542.0267158819),2.309627298878803e-05
262,479509014,POINT (239502.66047228445 554783.8622619654),3.9474760693864895e-05
263,479509104,POINT (239560.21954728864 554802.2812593809),5.254791066909782e-06
264,321182003,POINT (160738.4458852789 391495.7466651713),2.3602700115277803e-05
265,321183014,POINT (160707.2538892222 391606.39566682023),0.00010196617228928073
266,415275098,POINT (207820.9992344037 437662.0767682829),1.9851896799558697e-05
267,415274034,POINT (207833.18021440748 437498.7207669665),0.0
268,93234019,POINT (46937.6086320871 417312.2611417722),0.0
269,93233020,POINT (46980.32494148957 416779.7141380147),2.753026620745375e-06
270,315166279,POINT (157692.88262835477 383423.2917134474),3.1799973089234704e-05
271,315166294,POINT (157571.0216193887 383144.50071599515),5.259455320520787e-05
272,522557133,POINT (261044.99773790443 578915.1122951246),2.2772912765555963e-05
273,522557140,POINT (261239.4141483556 578853.7552860274),0.0
274,166309103,POINT (83018.51219174033 454699.2078618498),0.0
275,166309110,POINT (83105.64720456144 454585.03185846866),3.920099830713603e-05
276,168307173,POINT (84398.14523201979 453736.4278103421),7.949986378305288e-05
277,168307166,POINT (84597.25623090834 453629.638802964),0.0003450418669984493
278,340365179,POINT (170395.04468878187 482539.18709327444),0.00017849707430828805
